Time (s) Triangle,Voltage, Ch A (V) Triangle,Current, Ch B (A) Triangle,InductorV (V) Triangle,Slope (A/s) Triangle,Time (s) Sine,Voltage, Ch A (V) Sine,Current, Ch B (A) Sine,InductorV (V) Sine,Slope (A/s) Sine,Time (s) Square,Voltage, Ch A (V) Square,Current, Ch B (A) Square,InductorV (V) Square,Slope (A/s) Square
0.007,,,,-36.99,0.007,,,,55.79,0.007,,,,-0.12
0.007,-0.546,0.010,-0.87,,0.007,1.332,9.216E-4,1.30,,0.007,-1.550,-0.047,0.01,
0.007,,,,-37.72,0.007,,,,56.76,0.007,,,,-0.61
0.007,-0.672,0.006,-0.87,,0.007,1.501,0.007,1.28,,0.007,-1.547,-0.047,0.01,
0.007,,,,-36.13,0.007,,,,54.81,0.007,,,,-0.61
0.008,-0.798,0.002,-0.88,,0.008,1.646,0.012,1.25,,0.008,-1.545,-0.047,0.02,
0.008,,,,-38.57,0.008,,,,53.10,0.008,,,,1.22
0.008,-0.923,-0.001,-0.87,,0.008,1.765,0.017,1.19,,0.008,-1.543,-0.047,0.02,
0.008,,,,-38.45,0.008,,,,50.17,0.008,,,,-1.59
0.008,-1.047,-0.005,-0.87,,0.008,1.856,0.022,1.12,,0.008,-1.543,-0.047,0.02,
0.008,,,,-37.96,0.008,,,,48.71,0.008,,,,0.24
0.008,-1.172,-0.009,-0.87,,0.008,1.918,0.027,1.02,,0.008,-1.542,-0.047,0.02,
0.008,,,,-37.11,0.008,,,,40.41,0.008,,,,-0.37
0.008,-1.296,-0.013,-0.87,,0.008,1.950,0.031,0.92,,0.008,-1.542,-0.047,0.02,
0.008,,,,-38.82,0.008,,,,38.82,0.008,,,,9.16
0.008,-1.419,-0.017,-0.87,,0.008,1.951,0.035,0.79,,0.008,0.358,-0.047,1.89,
0.008,,,,-36.62,0.008,,,,31.86,0.008,,,,210.08
0.008,-1.543,-0.020,-0.87,,0.008,1.922,0.038,0.66,,0.008,5.314,-0.025,6.16,
0.008,,,,-38.82,0.008,,,,26.25,0.008,,,,221.56
0.008,-1.666,-0.024,-0.87,,0.008,1.862,0.041,0.51,,0.008,4.165,-0.003,4.27,
0.008,,,,-37.60,0.008,,,,21.12,0.008,,,,156.62
